ID,First Name,Last Name,Gender,Phone Number,Department,Position,Salary,Bonus,Password
E014,Chen,Soeklai,F,01452366,IT,Data,1300,200,456
E012,Chey,Nary,M,012547802,Finance,Assist-chef,700,100,456
E010,Doung,ChanDelis,F,014563289,Business,Finance,1300,110,456
E023,Em,Kimsorn,F,012680824,Finance,chef-finance,2300,800,456
E006,Hort,Kimmeng,M,012489566,IT,Data,900,100,456
E003,Kheang,Laiheak,F,065478124,EE,Ele-Engineer,1250,50,456
E008,Kheang,Khevin,M,012458796,Civil-E,Engineer,2000,100,456
E016,Khim,Sokcheang,F,0365544789,EE,Ele-Engineer,1200,200,456
E004,Khloeng,Menghour,M,012547899,Civil-E,Engineer,1240,50,456
E005,Khoeurb,SoKheang,M,014785236,Design,Architect,1230,100,456
E001,Khoeurnkosol,Roza,F,012365478,IT,Data,1200,200,456
E002,Khon,Solida,F,078945612,Design,Graphic,1300,100,456
E022,Khon,Socheata,F,01255258,Front-off,chef-teller,1200,200,456
E009,Khorn,Chanraksmey,F,014752369,IT,Data,1220,101,456
E015,Khoun,ChanNimol,F,013332569,Chemical,che-Eng,2000,122,456
E018,Lam,Kimhor,M,023654789,EE,Ele-Engineer,1300,200,456
E020,Len,Monireach,M,014233655,IT,Software-Eng,1500,200,456
E007,Leu,Sophal,M,012698754,IT,Data,1100,50,456
E021,Mao,Sreypich,F,017625558,IT,Ux/Ui,1300,200,456
E013,Meth,Sreyka,F,014785236,IT,Data,1500,200,456
E011,Ngoun,Engly,F,013654789,Eye-Dep,Eye-Doc,2000,500,456
E017,Sokhal,Sozana,F,012589634,IT,Data,1300,200,456
E019,Sot,Ramid,M,014785236,Mechanic,Car-Engineer,1200,200,456
